neighborhood,Average Fare,Total Rides,Mean Fare
Midtown,10.19,124,41.5
West Village,12.74,39,33.0
Chelsea,12.02,85,82.5
SoHo,13.38,24,52.0
Theater District,10.96,39,64.0
Murray Hill,9.98,21,33.0
Upper East Side,9.53,115,29.5
LaGuardia Airport,28.87,15,34.5
Kips Bay,10.7,15,30.0
Gramercy,10.19,24,43.0
Upper West Side,9.84,90,52.0
Harlem,11.35,10,40.0
Hell's Kitchen,13.8,74,52.0
Nolita,12.35,10,25.0
Financial District,18.18,11,52.0
John F. Kennedy International Airport,45.15,13,53.5
Greenwich Village,13.03,18,25.0
Boerum Hill,23.33,3,41.0
Morningside Heights,7.33,6,11.0
Prospect Heights,20.0,1,20.0
Sunnyside,11.25,2,17.0
East Harlem,9.25,12,22.0
NoHo,10.63,8,16.0
Williamsburg,18.56,16,37.0
Astoria,9.94,8,18.5
Flatiron District,16.8,10,34.0
Long Island City,14.0,5,25.0
Maspeth,32.75,2,52.0
Central Park,7.0,10,10.5
Chinatown,13.8,5,23.0
Park Slope,10.0,3,15.0
None,19.71,19,74.5
Stuyvesant Town,14.44,8,55.0
Lower East Side,11.97,44,29.0
East Village,14.7,58,107.5
Tribeca,14.84,16,44.5
Carroll Gardens,11.75,2,16.5
Sheepshead Bay,4.0,1,4.0
Little Italy,17.0,2,22.0
Brooklyn Heights,20.0,2,27.0
Bushwick,26.0,1,26.0
Gowanus,21.0,1,21.0
Civic Center,5.5,3,7.0
Battery Park City,18.33,6,28.5
Downtown Brooklyn,11.17,6,17.5
Woodside,17.5,3,25.5
Ditmars Steinway,24.0,1,24.0
Fort Greene,15.5,1,15.5
Mount Hope,7.0,1,7.0
Flushing,23.0,1,23.0
Clinton Hill,6.25,2,8.5
Wakefield,40.0,1,40.0
Randall's Island,33.0,1,33.0
Elmhurst,28.0,1,28.0
Jackson Heights,8.0,1,8.0
