"(0, 0)","['6.5', '7', '10', '6.5', '4.5', '6.5', '4', '8', '5', '11', '3.5', '4.5', '4.5', '4', '5', '6', '4', '4', '7', '8.5', '5', '7', '7.5', '4', '5', '3']","(0.9986501019683699, 0.0)"
"(0, 1)","['12', '12.5', '15']","(1.0, 0.0)"
"(0, 2)","['5.5', '3.5', '6.5', '6', '7.5', '7.5', '9', '9.5', '10', '6']","(0.99976737092096446, 0.0)"
"(0, 3)","['8.5', '9']","(1.0, 0.0)"
"(0, 4)","['5', '5', '8', '7', '6', '7', '5.5', '6']","(0.99999971334842808, 0.0)"
"(0, 5)","['4.5', '8.5', '6', '4.5']","(0.99999660232687526, 0.0)"
"(0, 6)","['8.5', '8', '4.5', '8.5', '6.5', '6', '5', '11', '7.5', '4.5', '10', '8.5', '5.5', '12', '5.5', '8', '5']","(0.99999660232687526, 0.0)"
"(0, 7)","['27', '32']","(1.0, 0.0)"
"(0, 8)","['4.5', '6', '6', '5', '6']","(0.99999660232687526, 0.0)"
"(0, 10)","['8', '7', '8', '9.5', '19', '13.5', '11.5']","(0.99999999999872013, 0.0)"
"(0, 11)","['20', '25.5', '23']","(1.0, 0.0)"
"(0, 12)","['9', '9.5', '9.5', '6.5']","(0.99999999995984001, 0.0)"
"(0, 14)","['13.5', '18.5']","(1.0, 0.0)"
"(0, 16)","['13', '11.5']","(1.0, 0.0)"
"(0, 17)",['14'],"(1.0, 0.0)"
"(0, 21)",['16'],"(1.0, 0.0)"
"(0, 22)","['10', '12']","(1.0, 0.0)"
"(0, 23)",['23.5'],"(1.0, 0.0)"
"(0, 24)",['21.5'],"(1.0, 0.0)"
"(0, 25)",['16.5'],"(1.0, 0.0)"
"(0, 26)",['11.5'],"(1.0, 0.0)"
"(0, 28)",['6'],"(0.9999999990134123, 1.9731754008489588e-09)"
"(0, 29)","['7.5', '9.5', '9']","(0.99999999999996814, 0.0)"
"(0, 32)",['12.5'],"(1.0, 0.0)"
"(0, 33)",['14'],"(1.0, 0.0)"
"(0, 38)","['11', '12.5', '14.5', '10', '10', '11.5', '9.5']","(1.0, 0.0)"
"(0, 39)",['13.5'],"(1.0, 0.0)"
"(0, 46)",['22.5'],"(1.0, 0.0)"
"(0, 49)",['32'],"(1.0, 0.0)"
"(0, 54)",['21.5'],"(1.0, 0.0)"
"(0, 64)",['31.5'],"(1.0, 0.0)"
"(0, 66)",['21'],"(1.0, 0.0)"
"(0, 74)",['41.5'],"(1.0, 0.0)"
"(0, 83)",['17.5'],"(1.0, 0.0)"
"(1, 0)","['12.5', '15.5', '15.5', '11.5', '10', '10']","(1.0, 0.0)"
"(1, 2)","['6', '6', '5']","(0.99999971334842808, 0.0)"
"(1, 3)","['5.5', '6.5']","(0.99999998101043752, 6.6613381477509392e-16)"
"(1, 6)","['14.5', '16', '16']","(1.0, 0.0)"
"(1, 10)","['14', '18', '13', '13']","(1.0, 0.0)"
"(1, 12)","['6.5', '8.5']","(0.99999999995984001, 0.0)"
"(1, 13)",['7.5'],"(0.99999999999996814, 6.3726801613483985e-14)"
"(1, 14)",['9'],"(1.0, 0.0)"
"(1, 16)","['7', '5.5', '4.5']","(0.99999660232687526, 0.0)"
"(1, 21)",['18.5'],"(1.0, 0.0)"
"(1, 24)","['17', '15']","(1.0, 0.0)"
"(1, 28)",['5'],"(0.99999971334842808, 5.7330314384707037e-07)"
"(1, 32)",['12.5'],"(1.0, 0.0)"
"(1, 33)",['13.5'],"(1.0, 0.0)"
"(1, 36)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(1, 37)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(1, 39)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(1, 45)",['32'],"(1.0, 0.0)"
"(1, 46)",['32'],"(1.0, 0.0)"
"(1, 55)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(1, 86)",['33'],"(1.0, 0.0)"
"(1, 88)",['29.5'],"(1.0, 0.0)"
"(2, 0)","['13', '7.5', '7', '17', '8', '6', '5', '5.5', '9.5', '8', '5', '11', '9.5', '8', '7.5', '5.5']","(0.99999971334842808, 0.0)"
"(2, 1)","['7', '4.5', '4.5', '10.5', '6.5']","(0.99999660232687526, 0.0)"
"(2, 2)","['6', '4', '4.5', '5', '4', '6.5', '6.5', '6', '4', '4', '7', '6']","(0.99996832875816688, 0.0)"
"(2, 3)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(2, 4)","['8.5', '10', '6']","(0.9999999990134123, 0.0)"
"(2, 5)","['5.5', '7']","(0.99999998101043752, 6.6613381477509392e-16)"
"(2, 6)","['15.5', '10.5', '16', '12']","(1.0, 0.0)"
"(2, 8)","['8.5', '8.5', '6']","(0.9999999990134123, 0.0)"
"(2, 9)","['8', '7.5']","(0.99999999999996814, 0.0)"
"(2, 10)","['10.5', '15', '13']","(1.0, 0.0)"
"(2, 11)",['21'],"(1.0, 0.0)"
"(2, 12)","['9', '4', '4.5', '6.5', '8.5', '5.5', '6.5', '7', '8', '8.5', '5.5']","(0.99996832875816688, 0.0)"
"(2, 15)",['52'],"(1.0, 0.0)"
"(2, 16)","['8', '9.5']","(0.99999999999999933, 0.0)"
"(2, 22)",['18.5'],"(1.0, 0.0)"
"(2, 25)",['18'],"(1.0, 0.0)"
"(2, 26)",['22'],"(1.0, 0.0)"
"(2, 27)",['32.5'],"(1.0, 0.0)"
"(2, 29)",['11'],"(1.0, 0.0)"
"(2, 32)","['13', '12']","(1.0, 0.0)"
"(2, 35)","['82.5', '55']","(1.0, 0.0)"
"(2, 38)","['9', '11', '9.5', '9.5']","(1.0, 0.0)"
"(2, 39)",['9'],"(1.0, 0.0)"
"(2, 49)",['38.5'],"(1.0, 0.0)"
"(2, 61)","['24.5', '23.5']","(1.0, 0.0)"
"(2, 66)",['25'],"(1.0, 0.0)"
"(2, 73)",['28.5'],"(1.0, 0.0)"
"(3, 0)","['10.5', '8.5', '11', '10.5', '8.5']","(1.0, 0.0)"
"(3, 1)","['7', '5']","(0.99999971334842808, 1.6431300764452317e-13)"
"(3, 2)","['7.5', '9.5']","(0.99999999999996814, 0.0)"
"(3, 3)",['3'],"(0.9986501019683699, 0.0026997960632602069)"
"(3, 4)","['10.5', '12.5']","(1.0, 0.0)"
"(3, 5)",['9'],"(1.0, 0.0)"
"(3, 6)",['14'],"(1.0, 0.0)"
"(3, 15)",['52'],"(1.0, 0.0)"
"(3, 16)","['4', '5']","(0.99996832875816688, 2.0061350358702157e-09)"
"(3, 27)",['26'],"(1.0, 0.0)"
"(3, 38)",['8.5'],"(1.0, 0.0)"
"(3, 39)",['4'],"(0.99996832875816688, 6.3342483666239957e-05)"
"(3, 50)","['19', '20']","(1.0, 0.0)"
"(3, 66)",['21.5'],"(1.0, 0.0)"
"(3, 77)",['34'],"(1.0, 0.0)"
"(4, 0)","['7.5', '9', '3.5', '5', '6']","(0.99976737092096446, 0.0)"
"(4, 2)","['5', '7.5', '4.5', '4.5', '8', '7']","(0.99999660232687526, 0.0)"
"(4, 3)","['13', '12.5']","(1.0, 0.0)"
"(4, 4)","['4.5', '6.5']","(0.99999660232687526, 2.308842006470968e-11)"
"(4, 6)","['16.5', '14', '10']","(1.0, 0.0)"
"(4, 7)","['34', '2.5']","(0.99379033467422384, 7.7119886916277025e-05)"
"(4, 10)","['10.5', '8.5']","(1.0, 0.0)"
"(4, 12)","['5', '7.5', '5.5', '4.5', '4.5', '6', '8']","(0.99999660232687526, 0.0)"
"(4, 14)",['17'],"(1.0, 0.0)"
"(4, 22)",['20'],"(1.0, 0.0)"
"(4, 25)",['15.5'],"(1.0, 0.0)"
"(4, 26)",['17.5'],"(1.0, 0.0)"
"(4, 28)",['10'],"(1.0, 0.0)"
"(4, 29)",['13.5'],"(1.0, 0.0)"
"(4, 32)","['7', '7.5']","(0.99999999999872013, 0.0)"
"(4, 33)",['14.5'],"(1.0, 0.0)"
"(4, 35)",['64'],"(1.0, 0.0)"
"(5, 0)","['6.5', '5.5', '6']","(0.99999998101043752, 0.0)"
"(5, 2)","['9.5', '7.5', '10.5', '8.5', '7', '7.5', '9.5', '9.5']","(0.99999999999872013, 0.0)"
"(5, 5)",['3.5'],"(0.99976737092096446, 0.00046525815807108017)"
"(5, 6)","['11.5', '9.5', '10']","(1.0, 0.0)"
"(5, 7)",['33'],"(1.0, 0.0)"
"(5, 10)",['13.5'],"(1.0, 0.0)"
"(5, 11)",['16'],"(1.0, 0.0)"
"(5, 12)",['8.5'],"(1.0, 0.0)"
"(5, 16)",['8.5'],"(1.0, 0.0)"
"(5, 37)",['8'],"(0.99999999999999933, 1.3322676295501878e-15)"
"(6, 0)","['9.5', '7', '8', '5.5', '10.5', '7.5', '12', '6', '10.5', '10.5', '7.5', '9', '12.5', '10', '6', '12', '7.5']","(0.99999998101043752, 0.0)"
"(6, 1)","['14', '12']","(1.0, 0.0)"
"(6, 2)","['17.5', '13.5']","(1.0, 0.0)"
"(6, 4)","['11', '9', '5.5']","(0.99999998101043752, 0.0)"
"(6, 5)","['12', '8', '11']","(0.99999999999999933, 0.0)"
"(6, 6)","['4.5', '7.5', '4', '3.5', '5', '8.5', '5.5', '5.5', '17', '6.5', '5', '5.5', '3.5', '5', '6.5', '6', '3.5', '4.5', '4.5', '5.5', '5.5', '5', '4.5', '3', '5.5', '6', '7', '6', '5', '7.5', '5.5', '4.5', '5.5', '4', '4', '3.5', '5', '7', '6.5', '3.5', '6.5', '6.5', '4', '6.5', '5', '4.5', '3.5']","(0.9986501019683699, 0.0)"
"(6, 7)","['27', '27']","(1.0, 0.0)"
"(6, 8)","['15.5', '8', '14.5']","(0.99999999999999933, 0.0)"
"(6, 10)","['11', '11', '8.5', '8.5', '11.5', '10', '10.5', '9.5', '8']","(0.99999999999999933, 0.0)"
"(6, 11)","['9.5', '21']","(1.0, 0.0)"
"(6, 12)","['15.5', '14.5', '9', '13.5']","(1.0, 0.0)"
"(6, 16)","['15.5', '18', '13']","(1.0, 0.0)"
"(6, 17)",['25'],"(1.0, 0.0)"
"(6, 22)","['4.5', '7.5', '8']","(0.99999660232687526, 0.0)"
"(6, 24)","['24', '19']","(1.0, 0.0)"
"(6, 25)",['11'],"(1.0, 0.0)"
"(6, 28)","['14.5', '12', '10.5', '13.5', '14']","(1.0, 0.0)"
"(6, 32)","['7.5', '7.5']","(0.99999999999996814, 0.0)"
"(6, 45)",['21.5'],"(1.0, 0.0)"
"(6, 46)",['29.5'],"(1.0, 0.0)"
